,country,region,price,iso3,protect,restore,manage,total,varname,units
91,Cameroon,Middle Africa,80,CMR,86.35,557587.58,5144379.27,5702053.21,abs_jobs,Jobs
92,Cameroon,Middle Africa,90,CMR,90.74,636393.16,5526241.2,6162725.1,abs_jobs,Jobs
93,Cameroon,Middle Africa,100,CMR,95.12,715198.74,5908103.14,6623396.99,abs_jobs,Jobs
94,Cameroon,Middle Africa,110,CMR,99.5,794004.32,6289965.07,7084068.89,abs_jobs,Jobs
95,Cameroon,Middle Africa,120,CMR,103.89,872809.9,6671827.0,7544740.78,abs_jobs,Jobs
96,Central African Republic,Middle Africa,10,CAF,44.63,615.36,507597.62,508257.61,abs_jobs,Jobs
97,Central African Republic,Middle Africa,20,CAF,47.61,17831.13,567452.71,585331.44,abs_jobs,Jobs
98,Central African Republic,Middle Africa,30,CAF,50.58,35046.9,627307.8,662405.28,abs_jobs,Jobs
99,Central African Republic,Middle Africa,40,CAF,53.56,52262.66,687162.89,739479.11,abs_jobs,Jobs
100,Central African Republic,Middle Africa,50,CAF,56.53,69478.43,747017.99,816552.95,abs_jobs,Jobs
101,Central African Republic,Middle Africa,60,CAF,59.51,86694.2,806873.08,893626.78,abs_jobs,Jobs
102,Central African Republic,Middle Africa,70,CAF,62.48,103909.96,866728.17,970700.61,abs_jobs,Jobs
103,Central African Republic,Middle Africa,80,CAF,65.46,121125.73,926583.26,1047774.45,abs_jobs,Jobs
104,Central African Republic,Middle Africa,90,CAF,68.43,138341.49,986438.36,1124848.28,abs_jobs,Jobs
105,Central African Republic,Middle Africa,100,CAF,71.41,155557.26,1046293.45,1201922.12,abs_jobs,Jobs
106,Central African Republic,Middle Africa,110,CAF,74.38,172773.03,1106148.54,1278995.95,abs_jobs,Jobs
107,Central African Republic,Middle Africa,120,CAF,77.36,189988.79,1166003.63,1356069.78,abs_jobs,Jobs
108,Chad,Middle Africa,10,TCD,1.06,410.24,633205.5,633616.8,abs_jobs,Jobs
109,Chad,Middle Africa,20,TCD,1.19,1030.09,793052.65,794083.93,abs_jobs,Jobs
110,Chad,Middle Africa,30,TCD,1.32,1649.93,952899.8,954551.05,abs_jobs,Jobs
111,Chad,Middle Africa,40,TCD,1.45,2269.78,1112746.96,1115018.18,abs_jobs,Jobs
112,Chad,Middle Africa,50,TCD,1.58,2889.62,1272594.11,1275485.31,abs_jobs,Jobs
113,Chad,Middle Africa,60,TCD,1.71,3509.47,1432441.26,1435952.44,abs_jobs,Jobs
114,Chad,Middle Africa,70,TCD,1.84,4129.31,1592288.42,1596419.57,abs_jobs,Jobs
115,Chad,Middle Africa,80,TCD,1.97,4749.16,1752135.57,1756886.7,abs_jobs,Jobs
116,Chad,Middle Africa,90,TCD,2.1,5369.0,1911982.72,1917353.83,abs_jobs,Jobs
117,Chad,Middle Africa,100,TCD,2.23,5988.85,2071829.88,2077820.96,abs_jobs,Jobs
118,Chad,Middle Africa,110,TCD,2.36,6608.69,2231677.03,2238288.08,abs_jobs,Jobs
119,Chad,Middle Africa,120,TCD,2.49,7228.54,2391524.18,2398755.21,abs_jobs,Jobs
120,Comoros,East,10,COM,0.11,0.0,5848.41,5848.52,abs_jobs,Jobs
121,Comoros,East,20,COM,0.11,0.0,6498.29,6498.4,abs_jobs,Jobs
122,Comoros,East,30,COM,0.12,0.0,7148.17,7148.29,abs_jobs,Jobs
123,Comoros,East,40,COM,0.13,0.0,7798.04,7798.17,abs_jobs,Jobs
124,Comoros,East,50,COM,0.13,0.0,8447.92,8448.06,abs_jobs,Jobs
125,Comoros,East,60,COM,0.14,0.0,9097.8,9097.94,abs_jobs,Jobs
126,Comoros,East,70,COM,0.15,0.0,9747.68,9747.83,abs_jobs,Jobs
127,Comoros,East,80,COM,0.16,0.0,10397.55,10397.71,abs_jobs,Jobs
128,Comoros,East,90,COM,0.16,0.0,11047.43,11047.6,abs_jobs,Jobs
129,Comoros,East,100,COM,0.17,0.0,11697.31,11697.48,abs_jobs,Jobs
130,Comoros,East,110,COM,0.18,0.0,12347.19,12347.37,abs_jobs,Jobs
131,Comoros,East,120,COM,0.18,0.0,12997.07,12997.25,abs_jobs,Jobs
132,Cote d'Ivoire,West,10,CIV,116.17,17845.58,1825888.13,1843849.89,abs_jobs,Jobs
133,Cote d'Ivoire,West,20,CIV,124.57,276952.3,2063551.72,2340628.59,abs_jobs,Jobs
134,Cote d'Ivoire,West,30,CIV,132.97,536059.02,2301215.3,2837407.29,abs_jobs,Jobs
135,Cote d'Ivoire,West,40,CIV,141.37,795165.74,2538878.88,3334185.99,abs_jobs,Jobs
136,Cote d'Ivoire,West,50,CIV,149.77,1054272.46,2776542.47,3830964.69,abs_jobs,Jobs
137,Cote d'Ivoire,West,60,CIV,158.17,1313379.17,3014206.05,4327743.39,abs_jobs,Jobs
138,Cote d'Ivoire,West,70,CIV,166.57,1572485.89,3251869.64,4824522.1,abs_jobs,Jobs
139,Cote d'Ivoire,West,80,CIV,174.97,1831592.61,3489533.22,5321300.8,abs_jobs,Jobs
140,Cote d'Ivoire,West,90,CIV,183.36,2090699.33,3727196.81,5818079.5,abs_jobs,Jobs
141,Cote d'Ivoire,West,100,CIV,191.76,2349806.04,3964860.39,6314858.2,abs_jobs,Jobs
142,Cote d'Ivoire,West,110,CIV,200.16,2608912.76,4202523.98,6811636.9,abs_jobs,Jobs
143,Cote d'Ivoire,West,120,CIV,208.56,2868019.48,4440187.56,7308415.6,abs_jobs,Jobs
144,Democratic Republic of the Congo (DRC),Middle Africa,10,COD,870.96,35896.29,4186276.56,4223043.81,abs_jobs,Jobs
145,Democratic Republic of the Congo (DRC),Middle Africa,20,COD,929.36,406757.91,4685026.65,5092713.92,abs_jobs,Jobs
146,Democratic Republic of the Congo (DRC),Middle Africa,30,COD,987.76,777619.53,5183776.74,5962384.03,abs_jobs,Jobs
147,Democratic Republic of the Congo (DRC),Middle Africa,40,COD,1046.16,1148481.15,5682526.83,6832054.14,abs_jobs,Jobs
148,Democratic Republic of the Congo (DRC),Middle Africa,50,COD,1104.56,1519342.77,6181276.92,7701724.25,abs_jobs,Jobs
149,Democratic Republic of the Congo (DRC),Middle Africa,60,COD,1162.96,1890204.39,6680027.01,8571394.36,abs_jobs,Jobs
150,Democratic Republic of the Congo (DRC),Middle Africa,70,COD,1221.37,2261066.01,7178777.1,9441064.48,abs_jobs,Jobs
151,Democratic Republic of the Congo (DRC),Middle Africa,80,COD,1279.77,2631927.63,7677527.19,10310734.59,abs_jobs,Jobs
152,Democratic Republic of the Congo (DRC),Middle Africa,90,COD,1338.17,3002789.25,8176277.28,11180404.7,abs_jobs,Jobs
153,Democratic Republic of the Congo (DRC),Middle Africa,100,COD,1396.57,3373650.87,8675027.37,12050074.81,abs_jobs,Jobs
154,Democratic Republic of the Congo (DRC),Middle Africa,110,COD,1454.97,3744512.49,9173777.46,12919744.92,abs_jobs,Jobs
155,Democratic Republic of the Congo (DRC),Middle Africa,120,COD,1513.38,4115374.11,9672527.55,13789415.03,abs_jobs,Jobs
156,Djibouti,East,10,DJI,0.04,1025.61,1462.1,2487.75,abs_jobs,Jobs
157,Djibouti,East,20,DJI,0.04,1215.54,1625.06,2840.64,abs_jobs,Jobs
158,Djibouti,East,30,DJI,0.04,1405.46,1788.02,3193.52,abs_jobs,Jobs
159,Djibouti,East,40,DJI,0.05,1595.39,1950.97,3546.41,abs_jobs,Jobs
160,Djibouti,East,50,DJI,0.05,1785.32,2113.93,3899.3,abs_jobs,Jobs
161,Djibouti,East,60,DJI,0.05,1975.25,2276.89,4252.18,abs_jobs,Jobs
162,Djibouti,East,70,DJI,0.05,2165.17,2439.84,4605.07,abs_jobs,Jobs
163,Djibouti,East,80,DJI,0.05,2355.1,2602.8,4957.96,abs_jobs,Jobs
164,Djibouti,East,90,DJI,0.06,2545.03,2765.76,5310.84,abs_jobs,Jobs
165,Djibouti,East,100,DJI,0.06,2734.96,2928.71,5663.73,abs_jobs,Jobs
166,Djibouti,East,110,DJI,0.06,2924.88,3091.67,6016.62,abs_jobs,Jobs
167,Djibouti,East,120,DJI,0.06,3114.81,3254.63,6369.5,abs_jobs,Jobs
168,Egypt,North,10,EGY,0.0,410.24,102613.0,103023.24,abs_jobs,Jobs
169,Egypt,North,20,EGY,0.05,486.21,550258.78,550745.05,abs_jobs,Jobs
170,Egypt,North,30,EGY,0.1,562.19,997904.56,998466.85,abs_jobs,Jobs
171,Egypt,North,40,EGY,0.15,638.16,1445550.35,1446188.66,abs_jobs,Jobs
172,Egypt,North,50,EGY,0.2,714.13,1893196.13,1893910.46,abs_jobs,Jobs
173,Egypt,North,60,EGY,0.25,790.1,2340841.91,2341632.27,abs_jobs,Jobs
174,Egypt,North,70,EGY,0.3,866.07,2788487.7,2789354.07,abs_jobs,Jobs
175,Egypt,North,80,EGY,0.35,942.04,3236133.48,3237075.88,abs_jobs,Jobs
176,Egypt,North,90,EGY,0.41,1018.01,3683779.26,3684797.68,abs_jobs,Jobs
177,Egypt,North,100,EGY,0.46,1093.98,4131425.05,4132519.48,abs_jobs,Jobs
178,Egypt,North,110,EGY,0.51,1169.95,4579070.83,4580241.29,abs_jobs,Jobs
179,Egypt,North,120,EGY,0.56,1245.92,5026716.61,5027963.09,abs_jobs,Jobs
180,Equatorial Guinea,Middle Africa,10,GNQ,6.19,205.12,1005926.39,1006137.7,abs_jobs,Jobs
181,Equatorial Guinea,Middle Africa,20,GNQ,6.6,614.22,1117695.99,1118316.81,abs_jobs,Jobs
182,Equatorial Guinea,Middle Africa,30,GNQ,7.01,1023.32,1229465.59,1230495.92,abs_jobs,Jobs
183,Equatorial Guinea,Middle Africa,40,GNQ,7.42,1432.43,1341235.19,1342675.04,abs_jobs,Jobs
184,Equatorial Guinea,Middle Africa,50,GNQ,7.83,1841.53,1453004.79,1454854.15,abs_jobs,Jobs
185,Equatorial Guinea,Middle Africa,60,GNQ,8.24,2250.63,1564774.39,1567033.26,abs_jobs,Jobs
186,Equatorial Guinea,Middle Africa,70,GNQ,8.65,2659.73,1676543.99,1679212.38,abs_jobs,Jobs
187,Equatorial Guinea,Middle Africa,80,GNQ,9.06,3068.83,1788313.6,1791391.49,abs_jobs,Jobs
188,Equatorial Guinea,Middle Africa,90,GNQ,9.48,3477.93,1900083.2,1903570.61,abs_jobs,Jobs
189,Equatorial Guinea,Middle Africa,100,GNQ,9.89,3887.04,2011852.8,2015749.72,abs_jobs,Jobs
190,Equatorial Guinea,Middle Africa,110,GNQ,10.3,4296.14,2123622.4,2127928.83,abs_jobs,Jobs
191,Equatorial Guinea,Middle Africa,120,GNQ,10.71,4705.24,2235392.0,2240107.95,abs_jobs,Jobs
192,Eritrea,East,10,ERI,0.0,0.0,27714.96,27714.96,abs_jobs,Jobs
193,Eritrea,East,20,ERI,0.22,1.73,37346.9,37348.84,abs_jobs,Jobs
194,Eritrea,East,30,ERI,0.43,3.46,46978.84,46982.73,abs_jobs,Jobs
195,Eritrea,East,40,ERI,0.65,5.18,56610.78,56616.61,abs_jobs,Jobs
196,Eritrea,East,50,ERI,0.86,6.91,66242.72,66250.49,abs_jobs,Jobs
197,Eritrea,East,60,ERI,1.08,8.64,75874.65,75884.37,abs_jobs,Jobs
198,Eritrea,East,70,ERI,1.29,10.37,85506.59,85518.25,abs_jobs,Jobs
199,Eritrea,East,80,ERI,1.51,12.1,95138.53,95152.14,abs_jobs,Jobs
200,Eritrea,East,90,ERI,1.72,13.83,104770.47,104786.02,abs_jobs,Jobs
201,Eritrea,East,100,ERI,1.94,15.55,114402.41,114419.9,abs_jobs,Jobs
202,Eritrea,East,110,ERI,2.15,17.28,124034.35,124053.78,abs_jobs,Jobs
203,Eritrea,East,120,ERI,2.37,19.01,133666.29,133687.67,abs_jobs,Jobs
204,Ethiopia,East,10,ETH,28.18,9025.35,1619554.48,1628608.01,abs_jobs,Jobs
205,Ethiopia,East,20,ETH,31.37,131678.42,2330079.22,2461789.01,abs_jobs,Jobs
206,Ethiopia,East,30,ETH,34.57,254331.49,3040603.96,3294970.01,abs_jobs,Jobs
207,Ethiopia,East,40,ETH,37.76,376984.56,3751128.7,4128151.01,abs_jobs,Jobs
208,Ethiopia,East,50,ETH,40.96,499637.63,4461653.43,4961332.02,abs_jobs,Jobs
209,Ethiopia,East,60,ETH,44.15,622290.69,5172178.17,5794513.02,abs_jobs,Jobs
210,Ethiopia,East,70,ETH,47.35,744943.76,5882702.91,6627694.02,abs_jobs,Jobs
211,Ethiopia,East,80,ETH,50.54,867596.83,6593227.65,7460875.02,abs_jobs,Jobs
212,Ethiopia,East,90,ETH,53.74,990249.9,7303752.39,8294056.02,abs_jobs,Jobs
213,Ethiopia,East,100,ETH,56.93,1112902.97,8014277.13,9127237.02,abs_jobs,Jobs
214,Ethiopia,East,110,ETH,60.12,1235556.03,8724801.86,9960418.02,abs_jobs,Jobs
215,Ethiopia,East,120,ETH,63.32,1358209.1,9435326.6,10793599.02,abs_jobs,Jobs
216,Gabon,Middle Africa,10,GAB,28.54,1230.73,2674152.63,2675411.9,abs_jobs,Jobs
217,Gabon,Middle Africa,20,GAB,30.52,22276.38,2973031.21,2995338.11,abs_jobs,Jobs
218,Gabon,Middle Africa,30,GAB,32.5,43322.03,3271909.78,3315264.31,abs_jobs,Jobs
219,Gabon,Middle Africa,40,GAB,34.48,64367.68,3570788.36,3635190.52,abs_jobs,Jobs
220,Gabon,Middle Africa,50,GAB,36.46,85413.33,3869666.93,3955116.72,abs_jobs,Jobs
221,Gabon,Middle Africa,60,GAB,38.44,106458.98,4168545.51,4275042.93,abs_jobs,Jobs
222,Gabon,Middle Africa,70,GAB,40.42,127504.63,4467424.08,4594969.13,abs_jobs,Jobs
223,Gabon,Middle Africa,80,GAB,42.4,148550.28,4766302.66,4914895.34,abs_jobs,Jobs
224,Gabon,Middle Africa,90,GAB,44.38,169595.93,5065181.23,5234821.54,abs_jobs,Jobs
225,Gabon,Middle Africa,100,GAB,46.36,190641.58,5364059.81,5554747.75,abs_jobs,Jobs
226,Gabon,Middle Africa,110,GAB,48.33,211687.23,5662938.38,5874673.95,abs_jobs,Jobs
227,Gabon,Middle Africa,120,GAB,50.31,232732.88,5961816.96,6194600.16,abs_jobs,Jobs
228,"Gambia, The",West,10,GMB,0.04,1230.73,174400.74,175631.51,abs_jobs,Jobs
229,"Gambia, The",West,20,GMB,0.04,1458.64,196848.68,198307.36,abs_jobs,Jobs
230,"Gambia, The",West,30,GMB,0.04,1686.56,219296.61,220983.21,abs_jobs,Jobs
231,"Gambia, The",West,40,GMB,0.05,1914.47,241744.54,243659.06,abs_jobs,Jobs
232,"Gambia, The",West,50,GMB,0.05,2142.38,264192.47,266334.9,abs_jobs,Jobs
233,"Gambia, The",West,60,GMB,0.05,2370.29,286640.4,289010.75,abs_jobs,Jobs
234,"Gambia, The",West,70,GMB,0.05,2598.21,309088.34,311686.6,abs_jobs,Jobs
235,"Gambia, The",West,80,GMB,0.06,2826.12,331536.27,334362.45,abs_jobs,Jobs
236,"Gambia, The",West,90,GMB,0.06,3054.03,353984.2,357038.29,abs_jobs,Jobs
237,"Gambia, The",West,100,GMB,0.06,3281.95,376432.13,379714.14,abs_jobs,Jobs
238,"Gambia, The",West,110,GMB,0.06,3509.86,398880.06,402389.99,abs_jobs,Jobs
239,"Gambia, The",West,120,GMB,0.07,3737.77,421328.0,425065.84,abs_jobs,Jobs
240,Ghana,West,10,GHA,43.48,1230.73,2194482.65,2195756.86,abs_jobs,Jobs
241,Ghana,West,20,GHA,47.02,121371.3,2509005.77,2630424.1,abs_jobs,Jobs
242,Ghana,West,30,GHA,50.57,241511.88,2823528.9,3065091.34,abs_jobs,Jobs
243,Ghana,West,40,GHA,54.11,361652.45,3138052.02,3499758.58,abs_jobs,Jobs
244,Ghana,West,50,GHA,57.65,481793.02,3452575.15,3934425.82,abs_jobs,Jobs
245,Ghana,West,60,GHA,61.19,601933.6,3767098.27,4369093.06,abs_jobs,Jobs
246,Ghana,West,70,GHA,64.74,722074.17,4081621.4,4803760.3,abs_jobs,Jobs
247,Ghana,West,80,GHA,68.28,842214.74,4396144.52,5238427.54,abs_jobs,Jobs
248,Ghana,West,90,GHA,71.82,962355.32,4710667.65,5673094.78,abs_jobs,Jobs
249,Ghana,West,100,GHA,75.36,1082495.89,5025190.77,6107762.03,abs_jobs,Jobs
250,Ghana,West,110,GHA,78.9,1202636.46,5339713.9,6542429.27,abs_jobs,Jobs
251,Ghana,West,120,GHA,82.45,1322777.04,5654237.02,6977096.51,abs_jobs,Jobs
252,Guinea,West,10,GIN,19.99,29947.76,817699.18,847666.93,abs_jobs,Jobs
253,Guinea,West,20,GIN,21.33,56605.21,935826.26,992452.79,abs_jobs,Jobs
254,Guinea,West,30,GIN,22.66,83262.65,1053953.34,1137238.65,abs_jobs,Jobs
255,Guinea,West,40,GIN,23.99,109920.09,1172080.42,1282024.51,abs_jobs,Jobs
256,Guinea,West,50,GIN,25.32,136577.54,1290207.5,1426810.36,abs_jobs,Jobs
257,Guinea,West,60,GIN,26.65,163234.98,1408334.59,1571596.22,abs_jobs,Jobs
258,Guinea,West,70,GIN,27.98,189892.43,1526461.67,1716382.08,abs_jobs,Jobs
259,Guinea,West,80,GIN,29.31,216549.87,1644588.75,1861167.93,abs_jobs,Jobs
260,Guinea,West,90,GIN,30.65,243207.32,1762715.83,2005953.79,abs_jobs,Jobs
261,Guinea,West,100,GIN,31.98,269864.76,1880842.91,2150739.65,abs_jobs,Jobs
262,Guinea,West,110,GIN,33.31,296522.2,1998969.99,2295525.51,abs_jobs,Jobs
263,Guinea,West,120,GIN,34.64,323179.65,2117097.08,2440311.36,abs_jobs,Jobs
264,Guinea-Bissau,West,10,GNB,3.63,410.24,156681.25,157095.12,abs_jobs,Jobs
265,Guinea-Bissau,West,20,GNB,3.87,2305.37,175666.89,177976.13,abs_jobs,Jobs
266,Guinea-Bissau,West,30,GNB,4.11,4200.5,194652.53,198857.13,abs_jobs,Jobs
267,Guinea-Bissau,West,40,GNB,4.35,6095.62,213638.17,219738.14,abs_jobs,Jobs
268,Guinea-Bissau,West,50,GNB,4.59,7990.75,232623.81,240619.15,abs_jobs,Jobs
269,Guinea-Bissau,West,60,GNB,4.84,9885.87,251609.45,261500.16,abs_jobs,Jobs
270,Guinea-Bissau,West,70,GNB,5.08,11781.0,270595.09,282381.16,abs_jobs,Jobs
271,Guinea-Bissau,West,80,GNB,5.32,13676.13,289580.73,303262.17,abs_jobs,Jobs
272,Guinea-Bissau,West,90,GNB,5.56,15571.25,308566.37,324143.18,abs_jobs,Jobs
273,Guinea-Bissau,West,100,GNB,5.8,17466.38,327552.01,345024.19,abs_jobs,Jobs
274,Guinea-Bissau,West,110,GNB,6.04,19361.5,346537.65,365905.19,abs_jobs,Jobs
275,Guinea-Bissau,West,120,GNB,6.29,21256.63,365523.29,386786.2,abs_jobs,Jobs
276,Kenya,East,10,KEN,37.7,59690.4,141330.65,201058.75,abs_jobs,Jobs
